text,commit message for
Add the layout for the featured image on the website to the feature demo. Can be accessed by clicking an action item.,adding new features
"Add ""otoMoto"" to featured list",adding new features
put line break after error message to improve exception message readability,improving non-functional requirements
Index improvement: RIDContainer add value performance,improving non-functional requirements
"bug 7185: the tags logic in the update disk,service offerings was wrong. once a tag is created, it should not be modified. we should only append to the existing list of tags, adding more tags. fixing the same",bug fixing
CS-14546: Fixed bug Unable to view console in System and Guest VMs and Added Upgrade script,bug fixing
"[Java] Play! framework + retrofit2 client exception converter, bug fixes (#6543)",bug fixing
SONAR-2084 improve usability,improving non-functional requirements
remove (duplicated) object_to_http_body and object_to_hash from swagger.rb findbugs,commits that belong to no category
bug fix in error handling. The postBuild should run after all the errors are recorded.,bug fixing
"Feature 809: import Pubmed Central ID

Import ""pmc"" field into bibtex from pubmed/medline records.  This field
is analogous to other pubmed identifiers (pubmed id, doi, pii) and is
used in NIH grant applications when listing publications produced by
NIH-funded work.",adding new features
new feature: PatternProcessor,adding new features
SONAR-5877 Improve readability of issues on the same line,improving non-functional requirements
YARN-6339. Improve performance for createAndGetApplicationReport. (Yunjiong Zhao via wangda),improving non-functional requirements
"1) Increase working buffer size to 1M  when downloading/uploading VMDK, hopefully can improve OVF exporting/importing performance. 2) use atomic SQL operation to get rid of global lock usage",improving non-functional requirements
more performance improvement.,improving non-functional requirements
UserContext switched to CallContext.  Added generic storage mechanism for other code to carry information throughout a call.  Made the calling User and Account a must have.  Added an interface to carry entities in error.  Fixed up the code.  Part of the vmsync branch,bug fixing
CLOUDSTACK-7241: Fixed error in test_escalations_ipaddresses.py,bug fixing
Improved performance on decoding of strings reported by Alex with its fix,improving non-functional requirements
Add Zone Wizard - fix a bug that submit button didn't respond when scope at step4 is zone-wide.,bug fixing
"making more progress. bug fixes and added ""clear error"" support.",bug fixing
"Netty: Support to bind on multiple host/port pairs

This patch allows to create several netty bootstrap, each of which
listening on different ports. This will potentially allow for features
to listen to different network interfaces for node-to-node or node-to-client
communication and is also the base to listen to several interfaces, so that those
can be used to speed up cluster communication in the future.

Closes #8098",adding new features
bug 10824: clearing up older entries in resolv.conf and dnsmasq-resolv.conf before adding so that duplicate entries do not end up in these files.,commits that belong to no category
remove the duplicated version info in common's pom file findbugs,commits that belong to no category
new UI - fix a bug: curly brackets was missing.,bug fixing
Support reading feature paths from the rerun formatter file,adding new features
CS-14542: Fix wrong traffic label for KVM agent,bug fixing
[Swift3] Fix bug where non-camel-case path params didn't work. (#5267),bug fixing
Feature request 2472812: rollback can be empty now for no rollback,adding new features
"Revert ""[WFLY-6779] added WISE feature code""",adding new features
SubTask -> Task traversal and additional bug fix,bug fixing
"Improved yet performance with huge datasets. When the mmap pool is full, then the channel technique is used. The dramatic slowness of read/write when the mmap pool is exhausted has been fixed.",improving non-functional requirements
"Revert ""Added doesObjectExist feature""",adding new features
CLOUDSTACK-9854: Fix test_primary_storage test failure due to live migration,bug fixing
1) Fix a serialization problem in command inherits AsyncCreateCommand.,bug fixing
BroadleafCommerce/QA#1827 - Improve readability of offer qualifying quantity test,improving non-functional requirements
CLOUDSTACK-747: internal LB in VPC - fix a bug that Source IP Address column was not filled after Add Internal LB action was complete.,bug fixing
Modified LsCommand to accomodate feature of listing the pinned files,adding new features
using a test as a driver to fix bugs,bug fixing
volume upload: fixed build error from the commit b0a96c4c85f2d6dfe57ce3474ce95ebb3cec6d2a,bug fixing
"new UI - related UI change after Bug 6162 (updatePortForwardingRule: should use ""ipaddress"" parameter instead of ""publicip"") is fixed.",bug fixing
optimized for encode performance,improving non-functional requirements
"bug 11070: cloudStack - delete cluster/host/network/pod/primaryStorage/secondaryStorage/zone - fix a bug that an API error showed after account was deleted (""listxxxxxxx&id=N"")",bug fixing
Minor patch to DirichletCluster to improve cluster dump readability. All tests run,improving non-functional requirements
"CLOUDSTACK-5726: Using runtime discovered dao (in AsyncJobManagerImpl.submitAsyncJob) to persist record has a problem to locate the right DAO instance, it causes corrupted field value be stored in database. Put in a work-around fix first to always initialize record fields in all cases",bug fixing
WELD-1149 Specialization - bootstrap performance improvement,improving non-functional requirements
"AS7-5897 Introduced a feature to allow user application specific ""container-interceptors"" which gets applied before certain JBoss specific server side interceptors get applied",adding new features
another fix for a related bug on data volumes I found whilst testing the parent bug,bug fixing
new UI - resources page - pod page - fix a bug that IP Range is blank.,bug fixing
this commit fix the failed unit test in last commit,bug fixing
improve console handler performance (nio write and http expires header),improving non-functional requirements
"Revert ""[ALLUXIO-1819] Fixed build failure""",bug fixing
Bumping to 3.0 alpha 2 to reflect the new history feature.,adding new features
CLOUDSTACK-7862: Fixed the script 'maint/test_high_availability.py' - Test Cases failing on Simulator as Testcases try to ssh to the VMs,bug fixing
Remove duplicated ID field from alarm callbacks,commits that belong to no category
SONAR-4518 Improve performance of rule removal during server startup,improving non-functional requirements
perhaps the close() is the key to fix the problem reported in,bug fixing
bug 11255: cloudStack - IP address page - Create Firewall rule - fix a bug on Google Chrome that changing protocol dropdown (e.g. from TCP to ICMP) wouldn't correctly hide/show related input fields.,bug fixing
CLOUDSTACK-9787: Fix wrong return value in NetUtils.isNetworkAWithinNetworkB,bug fixing
HDFS-3024. Improve performance of stringification in addStoredBlock. Contributed by Todd Lipcon.,improving non-functional requirements
bug 12337: Encrypt only password in host_detail table. Removed unused and duplicate references of HostDetailDao,commits that belong to no category
api: Add SecurityGroup DB view creation into db create_schema and fix a bug in ListSecurityGroupsCmd,bug fixing
[ALLUXIO-2743] Fix failing tests and add removeMount to MountTable when deleting a mount,bug fixing
Performance enhancement for the map.get on the locally owned entries.,improving non-functional requirements
"CLOUDSTACK-7389: fix for the script bugs CLOUDSTACK-7389, CLOUDSTACK-7390 and few",bug fixing
[ALLUXIO-2021] Fix a bug for setPermission in LocalUFS,bug fixing
Improved performance on fetch plan processing issue #4442,improving non-functional requirements
"Basic implementation of feature for ldap user synchronization as
background service. Introduced configuration property to configure the
synchronization period.",adding new features
Fix duplicate imports from rebase,commits that belong to no category
"cloudstack 3.0 UI - domain page - fix a JS error that appears after a new domain is created - ""context[$detailView.data('view-args').section] is undefined""",bug fixing
[ObjC] Fix various bugs in generated code. (#3031),bug fixing
bug 11555: Fixed NPE happening during LB rule cleanup in case when createLB fails,bug fixing
Move duplicate code into CmdLineTool#processConfiguration(),commits that belong to no category
raising NewSize to 128m from 64m generally improves performance,improving non-functional requirements
[FIXED HUDSON-4039] Fixed a serilization problem.,bug fixing
refactor EvernoteApi getting rid of duplicate code,commits that belong to no category
Minor improvement for readability of code,improving non-functional requirements
"improve lockscreen look, feel and usability",improving non-functional requirements
TFJ-335s upport feature-specific rate limit information,adding new features
Adds support for java-swing-ayatana. refs feature #796,adding new features
- Usability improvement on the preferences pages (editor).,improving non-functional requirements
SONAR-5010 improve testability of web service and fix media type of response,improving non-functional requirements
"BACK PORT - issue TRUNK-2874: Improved error message when you try to install in testing mode, and the Release Testing Support module is not installed",improving non-functional requirements
[FIXED JENKINS-5784] logrotate script for RPM/openSUSE bug fix,bug fixing
[FIXED HUDSON-2793] Fix from HUDSON-2379 introduced a bug for artifact/workspace,bug fixing
"Revert fail Fix OSX cannot connect to VPN due to wrongly declaim ENCAPSULATION_MODE_UDP_TRANSPORT_RFC""",bug fixing
bug 6031: Fixing the error msg when the deployment of a directly attached vm fails,bug fixing
"Improved support for concurrent testing in PerformanceTest. Also more fiddling measuring performance metrics for DateService, without getting any reliable results",improving non-functional requirements
Remove duplicate dependencies.,commits that belong to no category
[TACHYON-1238] Fix checkstyle errors with tachyon-common,bug fixing
account page - fix a bug that refresh button was not working properly.,bug fixing
more unit tests plus bug fix.,bug fixing
SONAR-4996 Improve Java migrations performance,improving non-functional requirements
Improved testing. In relation with LBCLASSIC-142,improving non-functional requirements
object api performance improvements case #5443,improving non-functional requirements
this commit fix the failed unit test before,bug fixing
"A minor fix to take into account stopping of a vm in stopping state. We will get a concurrentmodificationexception, and end in errorinmaintenance. This behavior is consistent with how stop works for cpvm.",bug fixing
MassiveCore - Performance improvement for command argument readers.,improving non-functional requirements
[FIXED HUDSON-6832] Hide some sidepanel links that should not be shown in,commits that belong to no category
add DONE for cookies in the feature list,adding new features
Fix more code smells (#62),commits that belong to no category
CLOUDSTACK-2131: [Performance][Enhancement] Avoid checking for providers that are not enabled while creating network.,improving non-functional requirements
[TACHYON-821] remove duplicate call to getWorkerTachyonConf,commits that belong to no category
"new UI - fix a bug ""$iconContainer is not found""",bug fixing
SONAR-5528 Improve performance of persistit serialization for highlighting,improving non-functional requirements
HBASE-16776 Remove duplicated versions of countRow() in tests,commits that belong to no category
SQL: minor improved on performance on reading a number that already is a number,improving non-functional requirements
CLOUDSTACK:8018: Fix test_redundant_router.test_redundantVR_internals - The SSH to router was being done from wrong host,bug fixing
"[JENKINS-7866] - Fix failed tests displaying as Yellow on ""History for Test Results"" page.",bug fixing
Add a unit test to verify assigned labels with spaces. Reduce duplicate code in test unit when validating cloud labels.,commits that belong to no category
"Better JSON tests, bug fixes.",bug fixing
Improved performance of OrientGraph.getVertices() and getEdges() when no index is configured.,improving non-functional requirements
Dispose line filters when feature paths are clobbered,adding new features
Adds genercis and other java5 features to the code,adding new features
new UI - fix a bug that API command didn't get passed correctly.,bug fixing
"browserCompatible feature add: double quote long fields exceed [-2^53+1, 2^53-1]",adding new features
Extendible hashing tests were added and performance was improved.,improving non-functional requirements
network page - fix a bug that clicking Add Network Button didn't work the first time.,bug fixing
Remove duplicate declaration of slf4j-api in pom.xml which let the build fail with maven3,commits that belong to no category
Implement delete/free in TachyonFS and fix bug with TachyonFile.,bug fixing
[SECURITY-184] fix test failures checking null value,bug fixing
Improve testability by making DomainController an interface,improving non-functional requirements
ISPN-1276 Improve batching and transactional performance after profiling,improving non-functional requirements
Performance improvements: the index insertions now are handled by module (and not by token anymore) / code folding marks won't be shown when too many code-folding marks are available (eclipse updates those in the UI thread and it can get really slow on large files).,improving non-functional requirements
[typescript-angular2] Fix syntax error (#4383),bug fixing
Merge master & fix bugs at EvictorTestUtil.java,bug fixing
bug 12607: fixed error message when resource limit exceeds,bug fixing
Improve readability of getBlockLock,improving non-functional requirements
Improve readability of expect test output,improving non-functional requirements
refactoring old code and fixing some regression bugs (UI had an issue listing domains). Also fixed the listing of domain specific zones at vm creation for a domain admin (listing everything upto root in that domain + listing all the children based on a path search),bug fixing
CLOUDSTACK-4089: UI > zone wizard > hypervisor VMware > multiple physical networks > edit Public/Guest traffic type > fix a bug that vSwitch Type dropdown selection didn't remain after Public/Guest traffic type is dragged to another physical network.,bug fixing
bug 10375: fixed a problem with build name,bug fixing
"usage: Fix regression build fail from fc3905fb, missing closing parenthesis",bug fixing
Refactored hideSoftKeyboard,commits that belong to no category
Add back cucumber-features. Work in progress for #45,adding new features
HBASE-14203 remove duplicate code getTableDescriptor in HTable (Heng Chen),commits that belong to no category
remove duplicated kotlin template creator findbugs,commits that belong to no category
Applied a patch from Tom Huybrechts to improve the performance of subversion on slaves.,improving non-functional requirements
CORE-2371 Improve performance,improving non-functional requirements
Improved performance in query when 2 field are of the same class and no conversion is needed,improving non-functional requirements
JBRULES-1915: Improve process persistence usability,improving non-functional requirements
"[TACHYON-590] address uronce-cc's review comments, including removing duplicates and adding more test cases",commits that belong to no category
HBASE-7329 Remove duplicate code in newly added files,commits that belong to no category
[FIXED HUDSON-1958] Fixed a typo in the error message.,bug fixing
added read/write features for drives in elastic hosts,adding new features
Share general implimentation of ListenerHandler and MethodExpressionEventListener,adding new features
Improve unit testing around Version by assigning a default version when the manifest is unconfigured,improving non-functional requirements
BroadleafCommerce/QA#2412 - enhance segment inclusion performance,improving non-functional requirements
bug 12316: Install wizard error handling fixes,bug fixing
"bug 11070: cloudStack - delete account - fix a bug that an API error showed after account was deleted (""listAccounts&id=N"")",bug fixing
"maven: build client at the end, fixes path error for console-proxy build target",bug fixing
Move some static strings to constants and remove some duplicate code,commits that belong to no category
[JENKINS-28446] - Introduce new API method in Queue to optimize the performance of UnlabeledLoadStatistics,improving non-functional requirements
ISPN-805 Use custom externalizers to improve performance of Lucene Directory,improving non-functional requirements
"Solve issue #100, removed unused duplicate RuntimeSupport.",commits that belong to no category
"bug 10501: This is really Kelven's bug but I'll fix it for him anyways.  DAO code already have a way to extract the DB fail from a transaction that is stored in the TLS.  There's no real reason for the DAO code to add special semantics to use a different DB connection.  That can be done by simply switching the transaction before it even reached the dao code.  Think about it.  Why would anyone want to call one dao function, switch transaction, and then switch back.  The right thing is for the caller to switch transaction, call a series of dao codes, and switch it back.  That's the semantics I changed to.  By doing this, it also eliminates the number of debug messages in this bug.",bug fixing
CORE-2371 Improve Oracle snapshot performance,improving non-functional requirements
[SMALLFIX] Fix wrong use of Configuration in ufs creation,bug fixing
Improve performance of expand for radioBlock button.,improving non-functional requirements
load balancer status features for radio. #476,adding new features
Enhanced extraction API - ValueCollector added to make the collection of extracted results easier,improving non-functional requirements
improved BeanToArray serialize performance,improving non-functional requirements
"1) Adjust SingleSegmentLoader to allow for storing segments on multiple different mount points.  The specification language is really janky right now, so this is remaining a stealth feature for the time being.",adding new features
Further HttpCommunicator testing improvements,improving non-functional requirements
DATAMONGO-701 - Improve performance of starts-with and ends-with queries.,improving non-functional requirements
[BZ-1276311] improve PatternBuilder performances,improving non-functional requirements
SONAR-9427 Improve performance on quality profile changelog,improving non-functional requirements
CLOUDSTACK:8018: Fix test_redundant_router.test_redundantVR_internals - The SSH to router was being done from wrong host,bug fixing
cloudstack 3.0 UI - infrastructure page - guest traffic type - network tab - fix a bug that clicking a network that doesn't belong to current login user would show spinning wheel forever in detailView.,bug fixing
Added for sceanrios to transform.feature,adding new features
multiple-selection page - fix a bug that top error container wrongly showed previous afterActionInfo.,bug fixing
"CID-1249800 Fix a coverity bug, but disable the code its used in as it",bug fixing
[JBOSGI-526] Duplicate org.jboss.osgi.metadata types in repository and resolver,commits that belong to no category
improve batch logging and performance,improving non-functional requirements
Modified JavaJaxrs resources to fix duplicated variable names. See issue,commits that belong to no category
SONAR-3086 improve usability of review forms,improving non-functional requirements
cloudstack 3.0 new UI - Add Network Offering - fix a bug that array index in serviceCapabilityList[] was wrongly passed to API.,bug fixing
Improved reusability of PrincipalPrintServlet. IdentityLoginModuleTestCase refactored to reflect the changes.,improving non-functional requirements
"Added experimental feature to minimize to sys tray. System tray icon is
displayed only when user chooses to minimize to sys tray.",adding new features
Added vertex centric index handling to SimpleVertexQueryProcessor for further performance improvements.,improving non-functional requirements
CLOUDSTACK-6965: fixed the NullPointerException introduced by fix for cloudstack,bug fixing
StoreDirect: add encryption feature bit,adding new features
Upgrade to Gson 2.1 for improved performance,improving non-functional requirements
[ALLUXIO-2977] Fix find bugs false positive reports,bug fixing
more bug fix: name -> full name.,bug fixing
"StoreDirect: compaction was not thread safe. Fix #542, in future have to rework this section, to improve performance.",improving non-functional requirements
[SMALLFIX] Fix a bug in FileUtils when getting local principal,bug fixing
Improve performance by skipping expensive conversions to string when not logging; https://github.com/plutext/docx4j/pull/162,improving non-functional requirements
BroadleafCommerce/QA#1739 - reformatted previously copied over method to improve readability and clarity,improving non-functional requirements
CLOUDSTACK-5404: Fix timezone bug in network usage,bug fixing
partial fix to #1052. The problem is that the DescriptorImpl class was not public.,bug fixing
dead-3274: Remove duplicate cleanString calls in logging api for,commits that belong to no category
[TACHYON-1559] Fix checkstyle errors originating out of changes,bug fixing
[DROOLS-1560] simplify and improve performances of ChainedProperties discovery (#1276),improving non-functional requirements
"Treat mappings at an index-level feature.

Today we try to have type-level granularity when dealing with mappings. This
does not play well with the cross-type validations that we are adding. For
instance we prevent the `_parent` field to point to an existing type. This
validation would be skipped today in the case of dedicated master nodes, since
those master nodes would only create the type that is being updated when
updating a mapping.",adding new features
Improved performance in server commands reusing the database from the pool,improving non-functional requirements
C++ Client section updated after feature implementer`s review.,adding new features
Combined PressedListener and ClickListener functionality. The extra baggage if not all features are needed is minor.,adding new features
Adding feature to allow controlling when and where the JNLP launch URL is exposed.,adding new features
Docs. Fix bug CLOUDSTACK-406. Change AWS API port to 7080 in Installation Guide.,bug fixing
CLOUDSTACK-9208: Assertion Error in VM_POWER_STATE handler- Fixed,bug fixing
improve streams count performance,improving non-functional requirements
"Add missing annotations and toString, the latter to improve readability of logs",improving non-functional requirements
made admin features optional and url based on adminURL for identity service in catalog,adding new features
improved create link performance when the destination field is a @rid,improving non-functional requirements
Instance page - vm group left menu (login as regular-user) - fix a bug that Refresh button on right panel didn't work.,bug fixing
bug 10516: cloudStack - volume page - create template dialog - fix a bug that appears on IE browser (not on Firefox) - OS Tye dropdown is push down to next line.,bug fixing
Updates docs with @Configuration features,adding new features
Prevented checking the reverse image preference on every scan to improve performance.,improving non-functional requirements
"Should trim the first / if there, to avoid JOSS send duplicate / to SwiftFS server, then cause cannot find the existing file.",commits that belong to no category
improve mysql sql parser performance,improving non-functional requirements
improve performance across the board for escaping,improving non-functional requirements
"index-draft feature


Former-commit-id: e25f6838d3d53aa50d21576ce735f2694072c2e4",adding new features
[changed] SpriteBatch.setTransformMatrix/setProjectionMatrix can now be called in between begin()/end() making our live a little bit easier. Do not overuse this feature as it flushes the batch!,adding new features
Caches: improve performance in soft/weak ref cache. Thanks to 'jendam' for suggesting it. See #317,improving non-functional requirements
Style and usability improvements on `AlertReceiver`,improving non-functional requirements
"HIVE-15520: Improve the sum performance for Range based window (Aihua Xu, reviewed by Yongzhi Chen)",improving non-functional requirements
more perfomance improvements. allow to disable deleting of messages for performance increase,improving non-functional requirements
improved reference compute performance. issue #859,improving non-functional requirements
Updating test to fix failures.,bug fixing
"HIVE-13667: Improve performance for ServiceInstanceSet.getByHost (Rajesh Balamohan reviewed by Siddharth Seth, Prasanth Jayachandran)",improving non-functional requirements
"Term Vector settings should be treated like flags without propergation

today if a specific feature is disabled for term vectors with something
like 'store_term_vector_positions = false' term vectors might be disabeled
alltogether even if 'store_term_vectors=true' in the mapping. This depends on the
order of the values in the mapping since the more specific one might override
the less specific on.

Closes #4582",adding new features
"feature: when using LdapUserService one can configure Gitblit to fetch all users from ldap that can possibly login. This allows to see newly generated LDAP users instantly in Gitblit. By now an LDAP user had to log in once to appear in GitBlit.

feature: when LDAP user synchronization is enabled, one can configure GitBlit to delete all LDAP users from the backing user service that are no longer existent in LDAP. By now LDAP users that were deleted still appeared in the GitBlit user list.",adding new features
"Another massive try at removing javadoc, PMD, and checkstyle warnings. Started to remove some code in math/ that appears to be dead as it has been duplicated and improved separately.",commits that belong to no category
[WFLY-8986] Move to a single licenses.xml source file in feature-pack,adding new features
"CLOUDSTACK-8488: network with LB fails to restart as the bash script mangles the escape characters, fixed",bug fixing
Index improvement: RIDContainer add value performance,improving non-functional requirements
"new UI - VM creation - fix a bug that last step showed ""[object]"" in disk offering.",bug fixing
agent: Fix typo for error message when HVM is not enabled,bug fixing
[JBAS-8323] - Add basic detection for duplicate namespace entries,commits that belong to no category
"Add functionality for labels + features in same SeqRecReader for SequenceRecordReaderDataSetIterator


Former-commit-id: 766e16d956ab45bb351b607433c0c094d439a6de [formerly 08f4d8c81010ab20e607ef76c7352d3a42b4e186]
Former-commit-id: b7b2bacb2802cc22128866bb437f30c1e98a5a27",adding new features
Minor performance improvement.,improving non-functional requirements
CLOUDSTACK-6906: Fixed volume resize BVT failure,bug fixing
SONAR-7305 Improve performances of WS api/measures/search_history,improving non-functional requirements
"(1) 'gpt' has a new option '-x' (clear tile cache after row write) (2) 'gpt' option '-c' now accepts also zero (= no tile cache at all) (3) WriteOp refactoring: deprecation of ""Static Utility Method"" and ""Parameter List Explosion"" code smells.",commits that belong to no category
[WFLY-6704] removing duplicated javax.api,commits that belong to no category
new UI - VM wizard - fix a bug that customized disk size didn't show in last step if blank template (ISO) is selected.,bug fixing
Removing duplicate method.,commits that belong to no category
update full-feature-pack-licenses.xml,adding new features
Adds validation of code smells in case expressions,commits that belong to no category
[WFLY-2879] - Remove duplicated code from test cases where custom modules are needed.,commits that belong to no category
"cloudStack - VM Wizard - fix a bug that comes and goes: ""$soTemplate is undefined""",bug fixing
Entries contained in an .aux file can now be selected (feature 644).,adding new features
"bug 7721: generically fixing the url decoder issue for all commands, wherein we block any input which contains % eg. name, displayText. We throw the apt error back to the UI for the user to act upon",bug fixing
CLOUDSTACK-3154: UI > Infrastructure > zone detail > remove VMware datacenter action > fix a bug that incorrect property name was used to retrieve embedded object in API response.,bug fixing
add Feature.DisableFieldSmartMatch,adding new features
SECOAUTH-328: move pre approval features to UserApprovalHandler,adding new features
CLOUDSTACK-7860: test_eip_elb.py - Move Netscler info out of the test case. Read it from config. Fix attribute error. Fix pep8 issues. Fix imports.,bug fixing
Default of auto update time stamp is now False. Refs feature 799.,adding new features
Remove duplicate attribute declaration. Closes #102.,commits that belong to no category
"[Java] Remove duplicated model description in Spring, JAX-RS models (#3887)",commits that belong to no category
CLOUDSTACK-6316: Fixed bvt failures,bug fixing
CLOUDSTACK-7143: try to fix jenkins problems with last 2 commits,bug fixing
All core cucumber-features are passing except one,adding new features
[WFCORE-543] @Ignore test failing when testing against the model validation improvements in upstream core,improving non-functional requirements
Query collections & arrays feature - code coverage supplemented,adding new features
bug 12316: Install wizard error handling fixes,bug fixing
improved performance for android,improving non-functional requirements
Added load/save session feature.,adding new features
bug 7075: Fixed error handling when adding secondary storage failures as long as any errors that would have been captured in the dialog itself.,bug fixing
SONAR-3104 Improve the usability of the project 'History',improving non-functional requirements
"Distributed architecture: tuned timeouts, improved performance by avoiding to push to the internal queue if all the synch responses are already arrived",improving non-functional requirements
Huge Refactor. I smell an RB coming ;).,commits that belong to no category
[ALLUXIO-1837] Removed extra empty lines to fix the build failure,bug fixing
"Revert ""ContextSuggester""

Reverting context suggester due to #5525 The release of this
feature is delayed untile `v1.2`

This reverts commit 44f52e474cc68e2dbd4515304f0fd7f109951da5.
This reverts commit 8c592101aee9640b42bd9336db33ad7f09d339d2.",adding new features
Temporary fix for CM problems. Resolves #2649,bug fixing
removed custom code that duplicates functionality of guava fallbacks,commits that belong to no category
HTTP: Improved performance by using a larger buffer,improving non-functional requirements
"[HUDSON-5951] yay for tests, fix error in new normalize() before it went in any release",bug fixing
Cloudstack-3882 remove duplicate entres of dataserver from /etc/hosts,commits that belong to no category
"Feature: Field names ""Doi"", ""Ee"", and ""Url"" are now written as ""DOI"", ""EE"", and ""URL""",adding new features
Send history feature now exports full CSV dump,adding new features
Implementation of autosave & backup feature (#2118),adding new features
[WFLY-6868]:Remove deprecated and duplicated class AcceptEncodingGZIPInterceptor,commits that belong to no category
dead-274: fix duplicate error code.,commits that belong to no category
JBRULES-935 - Update DrlDumper to handle with the new language features,adding new features
new UI - fix a bug that Disable HA option didn't show.,bug fixing
[JENKINS-21486] Fix :ant from daniel and separate failed plugin from,bug fixing
massive performance improvement through code elimination and combination.,improving non-functional requirements
Improved again performance of OGraphDatabase,improving non-functional requirements
BroadleafCommerce/QA#2208 - Refactor if conditions to enhance readability,improving non-functional requirements
"CLOUDSTACK-1957: cloudstack UI - fix a JS error ""'logout' is undefined"" which sometimes shows on login screen.",bug fixing
bug 8413: IP Address page - fix a bug that domain admin can't see PF/LB tabs of Source NAT IP created by sub-domain user.,bug fixing
cloudStack 3.0 new UI - instance wizard - select network step - fix a bug that network container was empty when trying to deploy 2nd VM.,bug fixing
Released v. 1.5. Reenabled the CiteSeer features afterwards.,adding new features
"Resurrecting the original fix for HUDSON-5756, as I'm still worried that bugparade 6933067 is related to some sort of the HotSpot optimization.",bug fixing
[JBTM-1933] Finish Migration of ACID features from TXFramework to XTS and REST-AT,adding new features
bug 8296: fix a bug that periodicallyCheckNonCompleteAsyncJob() sent out-of-date jobId to queryAsyncJobResult API.,bug fixing
Remove duplicate Utils getters,commits that belong to no category
"CLOUDSTACK-1758: Fix ssvm test failures, where ssh to ssvm failed.",bug fixing
Minor fix on the error message.,bug fixing
HBASE-13721 - Improve shell scan performances when using LIMIT(JMS),improving non-functional requirements
A first good version of the Search/Replace feature. It is a GeneralActionsManipulator.,adding new features
Experimental: Attempted fix for rare ArrayIndexOutOfBoundsException,bug fixing
[ISPN-89] - Improve configuration processing and maintenance,improving non-functional requirements
Add support for fullscreen feature,adding new features
HBASE-6295  Possible performance improvement in client batch operations: presplit and send in background - round 2,improving non-functional requirements
CLOUDSTACK-2322: update network.gateway to fix deployVm error on,bug fixing
Improved performances on KV server.,improving non-functional requirements
Disclose that line filters are applied to all feature paths,adding new features
CLOUDSTACK-9466: Fix fk constraint failure in upgrade path,bug fixing
Merge pull request #7307 from stuartwdouglas/performance-improvements,improving non-functional requirements
[JUnit] Handle empty feature files gracefully.,adding new features
CORE-2321 Improve robustness and readability,improving non-functional requirements
"HIVE-13313: TABLESAMPLE ROWS feature broken for Vectorization (Matt McCline, Sergey Shelukhin)",adding new features
Improve performance of glReadPixels() and ScreenUtils on GWT,improving non-functional requirements
[#61769706] Fixes a bug where the wrong name was being used for header,bug fixing
HIVE-9127: Improve CombineHiveInputFormat.getSplit performance (Brock via Xuefu),improving non-functional requirements
"Upgrade to use Vsphere 5.1 SDK jar, fixed all compilation error with new",bug fixing
"MAHOUT-492 - modified InteractionValueEncoder to be more generic, to allow interactions of any two FeatureVectorEncoders and also to allow specifying weight to apply to interaction",adding new features
Add config option to disable analysis features in the UI for certain fields (#4175),adding new features
CLOUDSTACK-7891 - Fix failure in integration.component.test_escalations_instances.TestInstances/test_15_revert_vm_to_snapshot,bug fixing
CLOUDSTACK-2577: Fix exception handling for listPortForwarding API,bug fixing
"[FIXED JENKINS-22631] Do not just warn about multiple builds with the same number; note this in the official problem list, and offer to fix it.",bug fixing
Slight performance improvement in api/rules/tags,improving non-functional requirements
making the same fix I made to maven-hpi-plugin to prevent a failure due to a hard-coded limitation in Jetty.,bug fixing
Remove duplicated hexadecimal conversion code,commits that belong to no category
[JENKINS-12199] Fixed bug where job configuration shows a displayname even though the job doesn't have a display name,bug fixing
YARN-6788. [YARN-3926] Improve performance of resource profile branch,improving non-functional requirements
Improved marking feature. Added :abbr modifier for key generator.,adding new features
"CLOUDSTACK-7637: UI > fix a bug produced by 4.5 feature ""template accross multiple zones"" > fix it by including all properties to jsonObj.",bug fixing
"Add link to ""feature branch workflow""

[ciskip]",adding new features
"BACK PORT - issue TRUNK-2874: Improved error message when you try to install in testing mode, and the Release Testing Support module is not installed",improving non-functional requirements
"AnimalTamer and Tameable interfaces, and corresponding features.",adding new features
"HIVE-15617: Improve the avg performance for Range based window (Aihua Xu, reviewed by Yongzhi Chen)",improving non-functional requirements
Using the language feature import since 2.9 is not supported,adding new features
bug 8541: Instance page - fix a bug that top Start button was shown while it was not supposed to.,bug fixing
format the code with auto format feature of eclipse.,adding new features
[Bash] Bugfix default curl options fix (#4832),bug fixing
Improve Weld SE startup performance: do not parse beans.xml files multiple times if isolation is turned off. Thanks to Stefan GroÃŸmann,improving non-functional requirements
[ISPN-97] - Improve configuration processing and maintenance,improving non-functional requirements
Summary: Fix RPM installation error for cloudstack-awsapi,bug fixing
"Fixed a bug in the way Lwjgl3Windows are stored and removed, fixed Lwjgl3Graphics#setFullscreenMode/setWindowedMode, changed Lwjgl3ApplicationConfiguration to use setters, fixed Lwjgl3Clipboard to use GLFW clipboard functions",bug fixing
HDFS-8674. Improve performance of postponed block scans. Contributed by Daryn Sharp.,improving non-functional requirements
HDFS-9768. Reuse ObjectMapper instance in HDFS to improve the performance. Contributed by Lin Yiqun.,improving non-functional requirements
AVRO-753. Java: Improve BinaryEncoder Performance.,improving non-functional requirements
moving duplicate code to separate method,commits that belong to no category
CLOUDSTACK-9830 Fix DST bug in QuotaAlertManagerTest,bug fixing
Caches: improve performance in soft/weak ref cache with 'clearCache()'. See #317,improving non-functional requirements
